subnet_uid,alpha_price_tao,tao_emission_per_tempo,alpha_emission_per_tempo,emission_share_pct
6,0.00809913,0.5,1.0,1.2691
7,0.004603588,0.5,1.0,1.2691
10,0.006485815,0.5,1.0,1.2691
11,0.012470349,0.5,1.0,1.2691
12,0.006903358,0.5,1.0,1.2691
13,0.009023611,0.5,1.0,1.2691
19,0.015640259,0.5,1.0,1.2691
21,0.004806163,0.5,1.0,1.2691
23,0.00446557,0.5,1.0,1.2691
24,0.006050186,0.5,1.0,1.2691
26,0.006635906,0.5,1.0,1.2691
27,0.004138295,0.5,1.0,1.2691
33,0.011290249,0.5,1.0,1.2691
39,0.017891001,0.5,1.0,1.2691
40,0.003817616,0.5,1.0,1.2691
44,0.035333514,0.5,1.0,1.2691
52,0.008745256,0.5,1.0,1.2691
54,0.00575309,0.5,1.0,1.2691
55,0.00408352,0.5,1.0,1.2691
57,0.00375298,0.5,1.0,1.2691
58,0.006576299,0.5,1.0,1.2691
59,0.005699112,0.5,1.0,1.2691
61,0.004708638,0.5,1.0,1.2691
64,0.100571995,0.5,1.0,1.2691
65,0.004439962,0.5,1.0,1.2691
68,0.013081863,0.5,1.0,1.2691
69,0.004027888,0.5,1.0,1.2691
75,0.029760804,0.5,1.0,1.2691
79,0.003898191,0.5,1.0,1.2691
81,0.01590149,0.5,1.0,1.2691
84,0.003906831,0.5,1.0,1.2691
103,0.004816784,0.5,1.0,1.2691
104,0.004277132,0.5,1.0,1.2691
111,0.003974858,0.5,1.0,1.2691
116,0.003929391,0.5,1.0,1.2691
120,0.085770133,0.5,1.0,1.2691
124,0.00727465,0.5,1.0,1.2691
125,0.008649169,0.5,1.0,1.2691
128,0.003923034,0.5,1.0,1.2691
28,0.005864932,0.496013173,1.0,1.259
96,0.003714483,0.49479639,1.0,1.2559
108,0.00431675,0.482854174,1.0,1.2256
102,0.004191557,0.477205202,1.0,1.2112
110,0.004785785,0.472498505,1.0,1.1993
113,0.004264953,0.472271764,1.0,1.1987
74,0.007620948,0.468921913,1.0,1.1902
94,0.004451522,0.457456906,1.0,1.1611
1,0.011165291,0.454093925,1.0,1.1526
90,0.004587851,0.446755992,1.0,1.134
89,0.004399869,0.44490742,1.0,1.1293
43,0.006536148,0.443954078,1.0,1.1268
37,0.004469024,0.434483783,1.0,1.1028
105,0.004213848,0.4244874,1.0,1.0774
22,0.00504665,0.415687706,1.0,1.0551
25,0.005005532,0.413591651,1.0,1.0498
92,0.003927179,0.41000246,1.0,1.0407
3,0.033580998,0.409846873,1.0,1.0403
88,0.004199352,0.405180638,1.0,1.0284
32,0.004225392,0.393241986,1.0,0.9981
118,0.003864741,0.390869437,1.0,0.9921
86,0.003927928,0.382556984,1.0,0.971
83,0.003675615,0.37992114,1.0,0.9643
101,0.00407107,0.377998839,1.0,0.9594
29,0.014600791,0.372525903,1.0,0.9455
31,0.004154808,0.366991719,1.0,0.9315
117,0.00432561,0.366254307,1.0,0.9296
62,0.04120265,0.358131855,1.0,0.909
9,0.025786465,0.349240463,1.0,0.8864
93,0.01303238,0.34811086,1.0,0.8836
49,0.00640185,0.344440969,1.0,0.8743
87,0.004032556,0.340668483,1.0,0.8647
80,0.004300915,0.337720945,1.0,0.8572
72,0.00400387,0.335859188,1.0,0.8525
38,0.003338464,0.335010781,1.0,0.8503
109,0.004095353,0.319320421,1.0,0.8105
97,0.00360883,0.291708372,1.0,0.7404
112,0.005497387,0.279047791,1.0,0.7083
70,0.004164759,0.277869391,1.0,0.7053
98,0.004724636,0.273408284,1.0,0.694
114,0.006841477,0.269320061,1.0,0.6836
100,0.016407711,0.266845899,1.0,0.6773
2,0.008507705,0.266362361,1.0,0.6761
47,0.00425095,0.264093702,1.0,0.6703
42,0.004206883,0.244354621,1.0,0.6202
73,0.004316186,0.229266329,1.0,0.5819
4,0.042595975,0.228434023,1.0,0.5798
119,0.008524202,0.22580621,1.0,0.5731
99,0.005454739,0.205491495,1.0,0.5216
78,0.004255656,0.203876117,1.0,0.5175
95,0.014588061,0.195757895,1.0,0.4969
36,0.004177741,0.183044652,1.0,0.4646
115,0.008762606,0.167395079,1.0,0.4249
122,0.006208817,0.159637378,1.0,0.4052
85,0.010124128,0.149055619,1.0,0.3783
71,0.008057792,0.144585179,1.0,0.367
15,0.013757704,0.142067347,1.0,0.3606
82,0.004517955,0.114479038,1.0,0.2906
121,0.008485127,0.114497599,1.0,0.2906
107,0.013139193,0.109986228,1.0,0.2792
126,0.004929792,0.094468644,1.0,0.2398
76,0.005605919,0.083715008,1.0,0.2125
14,0.009518613,0.069306719,1.0,0.1759
17,0.011191038,0.020123822,1.0,0.0511
0,1.0,0.0,0.0,0.0
5,0.014783582,0.0,1.0,0.0
8,0.040705394,0.0,1.0,0.0
16,0.005663401,0.0,1.0,0.0
18,0.007350953,0.0,1.0,0.0
20,0.004059345,0.0,1.0,0.0
30,0.003696264,0.0,1.0,0.0
34,0.01423477,0.0,1.0,0.0
35,0.006706388,0.0,1.0,0.0
41,0.007844292,0.0,1.0,0.0
45,0.004507613,0.0,1.0,0.0
46,0.004786811,0.0,1.0,0.0
48,0.00654076,0.0,1.0,0.0
50,0.010234875,0.0,1.0,0.0
51,0.041738404,0.0,1.0,0.0
53,0.006106683,0.0,1.0,0.0
56,0.022392265,0.0,1.0,0.0
60,0.006466156,0.0,1.0,0.0
63,0.007949881,0.0,1.0,0.0
66,0.003820707,0.0,1.0,0.0
67,2.916132023,0.0,0.0,0.0
77,0.005020823,0.0,1.0,0.0
91,1.677933728,0.0,0.0,0.0
106,0.004886315,0.0,1.0,0.0
123,0.004758484,0.0,1.0,0.0
127,0.005151442,0.0,1.0,0.0
